CHATEAUGAY;100015737805;CHATEAUGAY -1BK -TRANS;;;3022
;100015737817;RESERVE 81-TRANS;;;0
;100015737819;RESERVE 15 -TRANS;;;0
;100015737821;RESERVE 15 -TRANS;;;0
;100015737823;RESERVE 15 -TRANS;;;0
;100015737825;RESERVE 15 -TRANS;;;0
SCIOTA FLATROCK;100015738063;SCIOTA FLATROCK -1BK -TRANS;;;2968
SCIOTA FLATROCK;100015738065;SCIOTA FLATROCK -2BK -TRANS;;;3110
;100015738250;SCIOTA FLATROCK -GRNDBK -TRANS;;;0
HYDE;100015738442;HYDE -1BK -TRANS;;;920
HYDE;100015738444;HYDE -1BK -TRANS;;;920
HYDE;100015738466;HYDE -1BK -TRANS;;;920
LYON MTN;100015738487;LYON MTN -1BK -TRANS;;;1316
WEST CHAZY;100015738546;W CHAZY -1BK -TRANS;;;1097
WEST CHAZY;100015738548;W CHAZY -1BK -TRANS;;;1097
WEST CHAZY;100015738550;W CHAZY -1BK -TRANS;;;1097
BANKER ROAD;100015738586;BANKER ROAD -1BK -TRANS;;;2802
BANKER ROAD;100015738602;BANKER ROAD -1BK -TRANS;;;2802
BANKER ROAD;100015738604;BANKER ROAD -1BK -TRANS;;;2802
LIMESTONE;100015738651;LIMESTONE -1BK -TRANS;;;1178
LIMESTONE;100015738654;LIMESTONE -1BK -TRANS;;;1178
LIMESTONE;100015738656;LIMESTONE -1BK -TRANS;;;1178
BEEKMANTOWN;100015738681;BEEKMANTOWN -1BK -TRANS;;;951
BEEKMANTOWN;100015738683;BEEKMANTOWN -1BK -TRANS;;;951
BEEKMANTOWN;100015738685;BEEKMANTOWN -1BK -TRANS;;;951
BLUE MTN LAKE;100015738772;BLUE MTN LAKE -1BK -TRANS;;;1834
SOUTH JUNCTION;100015738784;SO JUNCTION -1BK -TRANS;;;2360
CABOT MINE;100015738818;CABOT MINE -2BK -TRANS;;;2144
MILL C;100015738870;MILL C -1BK -TRANS;;;978
MILL C;100015738872;MILL C -1BK -TRANS;;;978
MILL C;100015738874;MILL C -1BK -TRANS;;;978
HAMMOND LANE;100015739049;HAMMOND LANE -1BK -TRANS;;;1875
CLINTONVILLE;100015739137;CLINTONVILLE -1BK -TRANS;;;298
CLINTONVILLE;100015739139;CLINTONVILLE -1BK -TRANS;;;298
CLINTONVILLE;100015739141;CLINTONVILLE -1BK -TRANS;;;298
DANNEMORA;100015739178;DANNEMORA -2BK -TRANS;;;1354
DANNEMORA;100015739179;DANNEMORA -2BK -TRANS;;;1354
DANNEMORA;100015739181;DANNEMORA -2BK -TRANS;;;1354
HIGH FALLS;100015739244;HIGH FALLS -3BK -TRANS;;;1256
HIGH FALLS;100015739246;HIGH FALLS -3BK -TRANS;;;1256
HIGH FALLS;100015739248;HIGH FALLS -3BK -TRANS;;;1256
JAY;100015739388;JAY -1BK -TRANS;;;1575
JAY;100015739390;JAY -1BK -TRANS;;;1575
JAY;100015739392;JAY -1BK -TRANS;;;1575
JAY;100015739396;JAY -2BK -TRANS;;;381
JAY;100015739400;JAY -3BK -TRANS;46;34.5;377
STICKNEY BRIDGE;100015739483;STICKNEY BRIDGE -1BK -TRANS;;;527
STICKNEY BRIDGE;100015739485;STICKNEY BRIDGE -1BK -TRANS;;;527
STICKNEY BRIDGE;100015739487;STICKNEY BRIDGE -1BK -TRANS;;;527
HALLOCK HILL;100015739528;HALLOCK HILL -1BK -TRANS;;;5857
KEESESVILLE;100015739599;KEESESVILLE -1BK -TRANS;;;2507
KEESESVILLE;100015739601;KEESESVILLE -2BK -TRANS;;;510
KEESESVILLE;100015739603;KEESESVILLE -2BK -TRANS;;;510
KEESESVILLE;100015739605;KEESESVILLE -2BK -TRANS;;;510
NORTON;100015739641;NORTON -1BK -TRANS;;;1109
NORTON;100015739643;NORTON -1BK -TRANS;;;1109
NORTON;100015739645;NORTON -1BK -TRANS;;;1109
PERU;100015739662;PERU -1BK -TRANS;;;2371
STEAMBOAT LANDING;100015739725;STEAMBOAT L&ING -BANK 1 -TRANS;;;4
HARRIS LAKE;100015739735;HARRIS LAKE -1BK -TRANS;;;627
BARTON BROOK;100015739870;BARTON BROOK -1BK -TRANS;;;1551
BARTON BROOK;100015739872;BARTON BROOK -1BK -TRANS;;;1551
BARTON BROOK;100015739874;BARTON BROOK -1BK -TRANS;;;1551
BARTON BROOK;100015739876;BARTON BROOK -2BK -TRANS;;;4235
NORTHEND;100015740112;NORTHEND -1BK -TRANS;;;5121
ARIZONA AVE;100015740116;ARIZONA -1BK - TRANS;46;12.5;162
KENTS FALLS;100015740543;KENTS FALLS -2ABK -TRANS;115;46;0
KENTS FALLS;100015740545;KENTS FALLS -2ABK -TRANS;115;46;0
KENTS FALLS;100015740546;KENTS FALLS -2ABK -TRANS;115;46;0
KENTS FALLS;100015740764;KENTS FALLS -GRNDBK -TRANS;;;0
;100015740811;RESERVE 23 - TRANS;;;0
;100015740820;RESERVE 23 - TRANS;;;0
;100015740822;RESERVE 23 - TRANS;;;0
;100015740824;RESERVE 23 - TRANS;;;0
;100015740826;RESERVE 23 - TRANS;;;0
;100015740828;RESERVE 23 - TRANS;;;0
;100015740830;RESERVE 23 - TRANS;;;0
;100015740832;RESERVE 23 - TRANS;;;0
;100015740834;RESERVE 23 - TRANS;;;0
;100015740835;RESERVE 23 - TRANS;;;0
;100015740837;RESERVE 23 - TRANS;;;0
;100015740839;RESERVE 23 - TRANS;;;0
SAND STREET;100015740869;SAND ST #1BK -TRANS;;;1420
SAND STREET;100015740870;SAND ST #1BK -TRANS;;;1420
SAND STREET;100015740872;SAND ST #1BK -TRANS;;;1420
;100015740888;RESERVE 23 - TRANS;;;0
;100015740889;RESERVE 23 - TRANS;;;0
;100015740891;RESERVE 23 - TRANS;;;0
;100015740893;RESERVE 23 - TRANS;;;0
;100015740895;RESERVE 23 - TRANS;;;0
;100015740897;RESERVE 23 - TRANS;;;0
SAND STREET;100015740905;SAND ST -#2BK -TRANS;;;2195
PIERCE AVE;100015741026;PIERCE AVE -#1BK -TRANS;;;1040
PIERCE AVE;100015741028;PIERCE AVE -#1BK -TRANS;;;1040
PIERCE AVE;100015741029;PIERCE AVE -#1BK -TRANS;;;1040
PIERCE AVE;100015741031;PIERCE AVE -#1BK -TRANS;;;1040
PIERCE AVE;100015741033;PIERCE AVE-#2BK -TRANS;;;1482
PIERCE AVE;100015741034;PIERCE AVE-#2BK -TRANS;;;1482
PIERCE AVE;100015741065;PIERCE AVE-#2BK -TRANS;;;1482
OTEGO;100015741187;OTEGO -#1BK -TRANS;;;1615
OTEGO;100015741189;OTEGO -#1BK -TRANS;;;1615
OTEGO;100015741191;OTEGO -#1BK -TRANS;;;1615
OTEGO;100015741198;OTEGO -#2BK -TRANS;;;1127
OTEGO;100015741200;OTEGO -#2BK -TRANS;;;1127
OTEGO;100015741208;OTEGO -#2BK -TRANS;;;1127
COLLIERS;100015741246;COLLIERS -#1BK -TRANS;;;1132
COLLIERS;100015741248;COLLIERS -#1BK -TRANS;;;1132
COLLIERS;100015741250;COLLIERS -#1BK -TRANS;;;1132
COLLIERS;100015741276;COLLIERS -#1BK -TRANS;;;1132
COLLIERS;100015741278;COLLIERS-#2BK -TRANS;;;1544
COLLIERS;100015741287;COLLIERS -#3BK -TRANS;;;1132
COLLIERS;100015741289;COLLIERS -#3BK -TRANS;;;1132
COLLIERS;100015741291;COLLIERS -#3BK -TRANS;;;1132
COLLIERS;100015741459;COLLIERS -GRNDBK -TRANS;;;0
BAINBRIDGE;100015741485;BAINBRIDGE -#1BK -TRANS;;;1799
BAINBRIDGE;100015741487;BAINBRIDGE -#1BK -TRANS;;;1799
