EQUIP;OPCO;SUBST;TRANSFORMER_BANK;LOWSIDE_VOLTAGE;CNR_MVA;CALC_PLBN_RATING;THERMAL_STUDY_RATING;LIMITING_ELEMENT;RATING_MVA;YEAR;SUMMER_PEAK_LOAD_MVA
100015730377;NYSEG;ADAMS CORNERS 13.2KV;1-12/16/20/22MVA,TRF;13.2;22.4;24.64;;;24.64;2011;13.48
100015730459;NYSEG;AMAWALK 13.2KV;1-20/26/33/37MVA,TRF;13.2;37.299999999999997;41.03;;;41.03;2011;24.97
100015730727;NYSEG;AMENIA 4.8KV;3-1667/1917 KVA;4.8;5.75;6.33;;;6.33;2011;5.09
100015730730;NYSEG;AMENIA 4.8KV;3-1667/1917 KVA;4.8;5.75;6.33;;;6.33;2011;5.09
100015730733;NYSEG;AMENIA 4.8KV;3-1667/1917 KVA;4.8;5.75;6.33;;;6.33;2011;5.09
100015730999;NYSEG;BEDFORD  HLS 13KV;1-12/16/20/22MVA,TRF;13.2;22.4;24.64;;;24.64;2011;11.63
100015730952;NYSEG;BEDFORD HLS  4.8KV;3-3125 (9375KVA 3PH);4.8;9.3800000000000008;10.31;;;10.31;2011;8.23
100015730954;NYSEG;BEDFORD HLS  4.8KV;3-3125 (9375KVA 3PH);4.8;9.3800000000000008;10.31;;;10.31;2011;8.23
100015730985;NYSEG;BEDFORD HLS  4.8KV;3-3125 (9375KVA 3PH);4.8;9.3800000000000008;10.31;;;10.31;2011;8.23
100015731112;NYSEG;CANTITOE  BANK #1 4.8KV;1-7.5/8.4MVA  3PH  L;4.8;8.4;9.24;;;9.24;2011;7.44
100015731115;NYSEG;CANTITOE  BANK #2 13.2KV;1-7.5/10.5MVA,TRF,LT;13.2;10.5;11.55;;;11.55;2011;10.15
100015734916;NYSEG;CARMEL 13.2KV;1-12/16/20/22MVA,TRF;13.2;22;24.2;;;24.2;2011;18.670000000000002
100015731368;NYSEG;CRAFTS 13.2KV;1-12/16/20/22MVA,TRF;13.2;22;24.2;;;24.2;2011;23.8
100015731481;NYSEG;CROSS RIVER 13.2KV;1-12/16/20/22MVA,TRF;13.2;21.8;23.98;;;23.98;2011;18.88
100015729829;NYSEG;CROTON  FALLS 13.2KV;1-20/26/33/37MVA,TRF;13.2;37.200000000000003;40.92;;;40.92;2011;16.190000000000001
100015729814;NYSEG;DINGLE  RIDGE 4.8KV;3-1917(5751KVA 3PH);4.8;5.75;6.33;;;6.33;2011;6.16
100015731831;NYSEG;DOVER  PLAINS 13.2KV;3-2.5/2.8  (8.4MVA 3;13.2;8.4;9.24;;;9.24;2011;6.77
100015731834;NYSEG;DOVER  PLAINS 13.2KV;3-2.5/2.8  (8.4MVA 3;13.2;8.4;9.24;;;9.24;2011;6.77
100015731837;NYSEG;DOVER  PLAINS 13.2KV;3-2.5/2.8  (8.4MVA 3;13.2;8.4;9.24;;;9.24;2011;6.77
100015731901;NYSEG;GOLDENS  BANK #1 13.2KV;1-20/26/33/37MVA,TRF;13.2;37.200000000000003;40.92;;;40.92;2011;15.13
100015731904;NYSEG;GOLDENS  BANK #2 13.2KV;1-20/26/33/37MVA,TRF;13.2;37.200000000000003;40.92;;;40.92;2011;19.2
